Label,Description
Vonage Calls Linksys VoIP,Linksys provide broadbandtophone adapters eventually WiFi equipment
Vonage Calls Linksys VoIP PC World,PC World Linksys provide broadbandtophone adapters eventually WiFi equipment
Mich Elephant Gets Therapy Arthritis,ROYAL OAK Mich Like patient Wanda needs positive reinforcement wrestle physical therapy
Intel slashes Itanium prices Madison looms,Intel slashed prices across board prepares get behind new processor lines due autumn Itanium server line seen cuts 30 per cent prices Intel 39s fastest business
Straw British troops Darfur,British Foreign Minister Jack Straw said country plan deploy forces Darfur western Sudan provide technical assistance
Iraqi Guardsmen Ring Najaf Shrine,US Iraqi forces battled militants Najaf Tuesday Iraqi National Guardsmen advanced within 200 yards holy city 39s Imam Ali Shrine compound insurgents loyal radical cleric Muqtada alSadr holed weeks
Gregg help close deal,EVERTON chairman Bill Kenwright 39s plans Russian revolution Goodison Park may thawed cold war director Paul Gregg
Straw Sudan Must Help Displaced People AP,AP British Foreign Secretary Jack Straw touring sprawling desert camp housing 40000 displaced people troubled western Darfur region urged Sudanese government make safe frightened refugees return home
Japanese Bank Makes Hostile Bid Takeover Battle,biggestever takeover battle Japan got even bigger today Sumitomo Mitsui sought disrupt rivals expansion plans 29 billion hostile bid UFJ
Martian Weather Blamed Loss Beagle 2,Description investigation loss Britain 39s Beagle 2 spacecraft last December suggests cause may unusual Martian weather
Prodigy Adu Learns Trade DC United,WASHINGTON Reuters Teenager Freddy Adu Americas talked soccer player hardly set league alight skills first season
Japan 39s SMFG 29B bid UFJ,Sumitomo Mitsui Financial Group Inc laid 29 billion bid UFJ Holdings Tuesday challenging rival offer Mitsubishi Tokyo Financial Group form world 39s biggest bank
Sex toys find niche market churchinfluenced Philippines AFP,AFP predominantly Roman Catholic country prostitution illegal church still wields considerable influence nations morals brave person goes business selling sex toys
Director Leaves Hollinger Inc Board,Hollinger Inc th 39e Torontobased holding company controlled disgraced media baron Conrad Black lost independent director Tuesday former general Canada 39s armed forces resigned board
US involved Afghan vigilante trialofficial,Afghan court following proper procedures trial three US men accused torture kidnapping United States would exert influence next week 39s verdict US official said Tuesday
British Minister Sees Show Camp Sudan Reuters,Reuters Two rows wellspacedmattresses brightly colored covers laid strawhut smiling nurse surgical gloves gives aninjection crying baby held mother
Bin Laden Driver Charged Guantanamo,GUANTANAMO BAY NAVAL BASE Cuba Osama bin Ladens chauffeur officially charged Tuesday first US military tribunal since World War II appearing pretrial hearing lawyer challenged process unfair
Cisco Reaches High Low,NEW YORK Cisco Systems aggressively trying build presence key growth markets 39s using new products new acquisitions
39Somebody please save dad 39,Nick du Toit 39s wife stepdaughter distraught nothing help Monday stepdaughter Marilise Bezuidenhout forced convey news possible death sentence
Update 1 Passengers Stranded Canceled Flights,Thousands disgruntled vacationers stranded Heathrow Airport Tuesday British Airways canceled scores flights staff shortages technical hitches
Journalist purportedly kidnapped militants,group calling quotThe Islamic Army Iraq quot said Italy must withdraw 3000 troops safety missing Italian journalist 39t guaranteed
Discus Champion Thrown Games,ATHENS Reuters Hungarian Olympic discus champion Robert Fazekas lose gold medal expelled Games breaking doping rules International Olympic Committee IOC said Tuesday
Cisco acquire PCube 200M,SAN JOSE CalifCisco Systems Inc said agreed acquire PCube 200 million stock cash enable service providers control manage advanced Internet Protocol services
Cisco Microsoft Partner CRM,8242004 Cisco Systems yesterday announced new Customer Relationship Management CRM Communications Connector Microsofts CRM offering
Apple Tops Customer Satisfaction,Dell comes close second Gateway shows improvement study says
Sabre NWA Trade Barbs Ticketing Fee,AUGUST 25 2004 Sabre Travel Network yesterday responded quickly Northwest Airlines 39 decision impose fee domestic tickets issued global distribution systems firing back policy changes concluding
United 39s pension dilemma,United Airlines says likely end funding employee pension plans move would largest ever default US company could lead taxpayerfunded bailout rivaling savingsandloan fiasco 1980s
Linksys Netgear prep soho VoIP kit,WLAN kit makers Linksys Netgear rolled consumer smallbusiness oriented wireless access points integrated Voice IP VoIP support
Tiny telescope detects giant planet,tiny telescope spotted giant planet circling faraway star using technique could open new phase planetary discovery scientists say
Gardner Loses Quest Repeat Wrestling Gold,US heavyweight Rulon Gardner lost Olympic title Wednesday beaten semifinal stage 120kg GrecoRoman wrestling event Georgiy Tsurtsumia Kazakhstan
Playboy Posts Unused Google Excerpt Web Site Reuters,Reuters Playboy magazine Tuesdayposted Web site unpublished portion itsinterview Googles founders raised regulatoryeyebrows revealed timing justbefore Internet search engines muchanticipated initialpublic offering
Williams Status USC Still Unresolved AP,AP Standout receiver Mike Williams certain play Saturday night topranked Southern California opens season continuing delays schools appeal process NCAA knows USC applied NCAA progresstowarddegree waiver reinstatement Williams eligibility
Kerry Pledges Create HigherPaying Jobs AP,AP John Kerry headed closely divided Pennsylvania Wisconsin tell voters could produce better higherpaying jobs White House President Bush
GOP Platform Plan Seeks Gay Marriage Ban AP,AP Republican leaders pushing constitutional ban gay marriage GOP platform opening new point contention social conservatives outnumbered vocal factions fighting give partys statement principles moderate tone
EPA US Waterways Contain Polluted Fish AP,AP One every three lakes United States nearly onequarter nations rivers contain enough pollution people limit avoid eating fish caught
Selig Welcomes Government Help Steroids Scandal,NEW YORK Baseball commissioner Bud Selig said Monday would accept government intervention steroid testing players 39 association refuses change current rules run two years
Barents Sea Threat Fishing Oil Reuters,Reuters Arctic Barents Sea isunder threat overfishing oil gas exploration andSovietera radioactive waste UN Environment Program saidon Tuesday
Idea Fly Charge Travelers 10 Showing,Northwest Airlines said would begin charging 10 fee issuing ticket airport checkin desks
man plan,ATHENS Four years ago Sydney US gymnasts gone medalfree Olympics first time 28 years federation president Bob Colarossi sitting table explaining turnaround already begun women moved sixth fourth world one year men sixth fifth
ASCAP Shakes Burning Man Music Royalties,LOS ANGELES CA Officials ASCAP today indicated intend pursue music royalties organizers Burning Man artists gathering celebration held Labor Day holiday near Reno NV unconventional event held annually since 1986 never paid fees music played event says ASCAP intend pursue available avenues get issue resolved said Tony Wilcox ASCAP spokesperson
Branson Virgin Billionaire Eyes China Telecom Deal,hear Virgin Group Chairman Richard Branson said Hong Kong company earmarked 300 million cell phone joint venture China
Second Prisoner Abuse Report Expected,WASHINGTON Inattention prisoner issues senior US military leaders Iraq Pentagon key factor abuse scandal Abu Ghraib prison evidence ordered mistreatment independent panel concluded
Cleric Returns Broker Najaf Peace Deal,NAJAF Iraq Iraqs powerful Shiite cleric returned home Britain Wednesday help broker end nearly three weeks fighting Najaf calling followers join march reclaim holy city spokesmen witnesses said Grand Ayatollah Ali Husseini alSistani return came heavy fighting persisted Najafs Old City
Police Tear Gas Arrest Protesters Bangladesh,Batonwielding riot police fired tear gas rounded dozens demonstrators Bangladesh Tuesday general strike called protest weekend grenade attack killed 20 people wounded hundreds opposition political rally
Careening Indians Fall,Slumping Cleveland lost threerun lead Derek Jeter homered stole two ninthinning bases New York sent Indians ninth consecutive loss 54 Tuesday
Internosis Relocate Greenbelt October,Internosis Inc information technology company Arlington plans move headquarters Greenbelt October relocation bring 170 jobs Prince Georges County
Microsoft offers SP2 compatibility guide,Securityfocused Windows XP update tough applications Guidelines meant help professionals test mitigate
Site security gets recount Rock Vote,Grassroots movement register younger voters leaves publishing tools accessible outsiders
Sony reveals specs PSP handheld,PlayStation Portable going one complex processor running show games multimedia
Study Apple Dell lead PC customer satisfaction index,PC industry better job year satisfying US customers better technical support easiertouse hardware seem made difference according American Customer Satisfaction Index
UN organizes opensource software day across Asia,United Nations International Open Source Network IOSN organize first annual Software Freedom Day Saturday effort educate Asian users benefits Free Open Source Software FOSS encourage wider use region
European Union Extends Review Microsoft Deal,PAUL GEITNER BRUSSELS Belgium AP Software giant Microsoft Corp MSFT media entertainment powerhouse Time Warner Inc
Darfur 4Point Draft Agenda Adopted Abuja,tentative step taken yesterday quest finding lasting peace crisis torn Dafur region Sudan Abuja peace talks unanimously adopted fourpoint draft agenda
UPDATE 2TD Banknorth talks possible deal,Toronto Dominion Bank TDTO Quote Profile Research said Wednesday talks USbased Banknorth Group BNKN Quote Profile Research possible deal line Canadian bank 39s push
Jamaican Government Provide Free Internet Access Poor ltbgtltbgt,Jamaica 39s government Tuesday announced US5 million Jamaican 308 million plan provide free Internet access poor communities across island
new Golden Girl,took 4941 seconds Tonique WilliamsDarling etch name annals Bahamian history WilliamsDarling crossed finish line
Indias Tata makes powerful debut,Shares Indian software services giant Tata Consultancy close 16 higher market debut raising 12bn company
Sudanese rebels agree take part peace talks Abuja,ABUJA Aug 25 2004 dpa Rebel groups agreed Wednesday participate peace talks Sudanese government held Nigerian capital Abuja coming pressure disarm accept confinement camps country 39s
Dragging Net Cyber Criminals,attempt stem growing tide online scams identity theft proliferation junk email Justice Department state law enforcement officials initiated seems largest dragnet yet spammers socalled phishers Internet con artists ltFONT faceverdanaMS Sans Serifarialhelvetica size2 color666666gtltBgtwashingtonpostcomltBgtltFONTgt
EU probe MicrosoftTime Warner buy,decision setback two companies plan acquire ContentGuard digital rights management firm
Allen Wins Triathlon,Kate Allen Austria wins triathlon late surge Wednesday passing half field final leg edging Loretta Harrop Australia finish line
Google Next Netscape,Google Next NetscapeTo draw parallel Netscape 038 Google fight Microsoft necessary examine various similarities two situations see tactics worked work
GM pulls Guy Ritchie car ad protest,Protests seven safety groups prompted General Motors pull television ad shows young boy driving Corvette sports car recklessly goes airborne officials automaker say
Tiny telescope 39s big discovery opens new doors,WASHINGTON tiny telescope spotted giant planet circling faraway star using technique could open new phase planetary discovery
News US cracks spam mountain,John Ashcroft attorney General US expected announce Thursday dozens lawsuits alleged spammers following low key campaign practise across US
Bryant Prosecutors Say Data Tainted,DENVER Crucial DNA evidence tested defense experts Kobe Bryant sexual assault case might contaminated prosecutors said court filing released Wednesday two days jury selection begin Prosecutors said found contamination DNA control samples intended ensure testing accurate
Poultry Stocks See Mixed Recovery,Despite weak thirdquarter earnings report sent shares plunging 24 percent Tuesday poultry producer Sanderson Farms Inc
Brazil Tops Spain Mens Gold Beach Volleyball,ATHENS Reuters Ricardo Santos Emanuel Rego beat Spains Javier Bosma Pablo Herrera 2116 2115 Wednesday bag Brazils first mens Olympic beach volleyball gold medal
NTT DoCoMo Motorola tie 3G handsets,NTT DoCoMo release handset compatible nonJapanese cellular networks 3G third generation mobile network early next year
Vonage Awash Venture Capital,VoIP define upstart Vonage quickly amassed another 105 million venture capitalists looking Latin America Asia accelerate already torrid growth rate
UN says Afghan vote legitimise postwar scene AFP,AFP Afghanistan chance real political legitimacy voters go polls countrys first postTaliban presidential election UNs envoy nation said
Bryant Prosecutors Question Defense DNA Evidence,DENVER Reuters Prosecutors rape case US basketball star Kobe Bryant questioning validity DNA evidence crucial defenses case saying data appeared manipulated might thrown
Best Software overhauls Act,Best Softwarelaunched week overhaul Act contact management software adding product line second version scalability advanced functionality
MOM 2005 Released Manufacturing,Microsoft Wednesday announced release manufacturing Microsoft Operations Manager MOM 2005 MOM 2005 Workgroup Edition new edition company previously called MOM 2005 Express
Pittman misses,Fani Halkia 1980 Greece clears hurdle en route winning gold medal ahead fifth place finisher Jana Pittman Australia
Jones Advances Long Jump Johnson,ATHENS Greece Marion Jones made Athens debut virtual anonymity quietly advancing long jump final Allen Johnson attention everyone stadium wrong reasons
Ford Repair Faulty Heated Seats Focus Cars,Ford Motor Co said Wednesday fix malfunctioning heated seats 33000 Focus cars twothirds sold Canada
Gartner Q2 server shipments rise Sun Dell strength,Server shipments revenue increased second quarter lowcost servers based Linux Windows operating system growing faster Unix counterparts according research firm Gartner Inc
US raids Net song swappers,US agents raided homes five people allegedly traded hundreds thousands songs movies copyrighted material Internet Attorney General John Ashcroft says
Dell May Soon Unveil Consumer Goods Analyst Reuters,Reuters Dell Inc DELLO worldslargest PC maker could announce expanded selection itsconsumer electronics line next several weeks retailindustry analyst said Wednesday
Coke Loses Quiznos Sandwich Account,Quiznos Sub thirdlargest US sandwich chain said Wednesday signed deal serve PepsiCo Inc PEPN Quote Profile Research drinks US outlets ending 23year relationship CocaCola Co
Israeli army set unveil stink bomb,JERUSALEM Israeli army set unveil new weapon designed get noses Palestinians massive stink bomb report Maariv daily Wednesday said military
Northwest sues Sabre ticket fees,Northwest Airlines Corp filed suit Sabre Travel Network US District Court District Minnesota alleging Sabre instituted measures make difficult carrier sell tickets
News FBI seizes computers firstever criminal action P2P network,Associated Press Curt Anderson
Kuwait assures help hostages,NEW DELHI Aug 25 Kuwait promised leave stone unturned ensure safe return three Indians taken hostage Iraq
MmO2 Announces 3G Mobile Data Network Launch,Customers able download film clips audio video interactive multiplayer games multimedia music tracks quotpushtowatch quot services well access large email attachments
Republicans Endorse Ban Gay Marriage,NEW YORK Republicans endorsed uncompromising position gay unions Wednesday manifesto contrasts Vice President Dick Cheneys supportive comments gay rights moderate face party show next weeks national convention panel made largely conservative delegates approved platform language calls constitutional amendment banning samesex marriage opposes legal recognition sort gay civil unions
Microsoft expands mainframe pitch,Company upgrading current support service program draw mainframe customers
US Justice Department Cracks Internet Crime,FBI seized computers software equipment part investigation illegal sharing copyrighted movies music games Internet peertopeer network Attorney General John Ashcroft announced Wednesday
UPDATE NZ Auckland Airport FY Net Surges Travel Boom,WELLINGTON Dow JonesNew Zealand 39s Auckland International Airport Ltd AIANZ Thursday posted double digit annual profit growth buoyed surge passenger travel said expects meet market consensus 2005 fiscal year earnings
Mich Rep Head Intelligence Panel AP,AP Republican Rep Peter Hoekstra Michigan picked Wednesday head House Intelligence Committee amid heated electionyear debate carry major overhaul nations intelligence system
Belarus Bank Denies Money Laundering Charge,bank Belarus denied US charges laundered money former Iraqi leader Saddam Hussein Infobank statement said strictly followed international agreements related fight illegal transactions
Singapore Air plans 735B Boeing order,Singapore Airlines plans buy 31 Boeing longrange 777300ER planes worth 735 billion carrier said Wednesday
Global server sales rise,Sales server systems rose 77 percent globally second quarter 1155 billion demand Information Technology remained strong three year downturn market research firm Gartner said statement
Oil Prices Alter Direction,monthlong rally repeatedly pushed prices new highs cost barrel slumped fourth day leaving price 10 higher yearago rate
Warner Start Giants Week AP,AP Kurt Warner start quarterback New York Giants week although competition rookie Eli Manning regularseason job continues
Pinochet Immunity Weighed Chile Court AP,AP Lawyers pressed Chiles Supreme Court Wednesday uphold lower court decision stripping retired Gen Augusto Pinochet immunity prosecution saying former dictator face justice past human rights abuses
Lawyer Bush Quits Links Kerrys Foes,quick resignation suggests Bush campaign repeatedly said ties Swift boat veterans group eager put issue behind
Toyota reports silicon carbide breakthrough,Move silicon chips new semiconductor king horizon Silicon carbide 39s SiC potential known since 1950 39s properties make attractive also make hard work
MLB Va Officials Meet,Chicago White Sox owner Jerry Reinsdorf led team negotiators Major League Baseball threehour meeting Wednesday leaders Virginia Baseball Stadium Authority
AL Wrap Ortiz Fuels Red Sox Fire Blue Jays Go Reuters,Reuters David Ortiz thumped two homers anddrove four runs fire Boston Red Sox 115 winover Toronto Blue Jays American League Wednesday
AL Wrap Ortiz Fuels Red Sox Fire Blue Jays Go,TORONTO Reuters David Ortiz thumped two homers drove four runs fire Boston Red Sox 115 win Toronto Blue Jays American League Wednesday
China warns Singapore officials future visits Taiwan AFP,AFP China warned Singapore officials visiting Taiwan private unofficial trip citystates new leader weeks took office strained ties Beijing
Sistani Urges Supporters Wait Najaf Gates,BAGHDAD Reuters Iraqs top Shiite cleric Grand Ayatollah Ali alSistani urged supporters converging Najaf Thursday enter battered holy city arrived senior aide said
Rain threatens triangular final AFP,AFP Organisers left banking Dutch weather spare Saturdays final triangular cricket tournament deciding altering fixture schedule bid beat rain marred warmup event next months ICC Champions Trophy England
Pakistan India ensure top six finish AFP,AFP Pakistan defeated archrivals India 30 ensure stand among top six Olympic mens field hockey competition
Singapore Air expands fleet US37B Boeing order,Singapore Airlines Ltd Asia 39s profitable carrier betting new planes help lure passengers Emirates Cathay Pacific Airways Ltd
White House Shifts Focus Climate,administration issued report indicating emissions carbon dioxide heattrapping gases likely explanation global warming
Bush Makes Fourth Trip Year NM AP,AP ranks independent voters New Mexico grown nearly 20000 last 10 months prize pulling President Bush rival John Kerry state
Charges reduced Iraq jail MP,MANNHEIM Germany US military policewoman accused Abu Ghraib prison abuse scandal charges reduced yesterday set pretrial hearings wrapped American base Germany
insurer sees light,Snoopy left building Well almost MetLife Inc insurance giant employs Charlie Browns dog ads close completing deal sell State Street Research Management investment arm BlackRock Inc 400 million Everyone involved better
GM pulls Corvette ad underage driver,DETROIT General Motors Corp withdrawn Corvette commercial shows young boy driving wildly city streets safety advocates complained company said yesterday
mixed economic bag July,Factory orders July costly manufactured goods recorded biggest gain four months New home sales meanwhile slid according pair reports
Keck telescope confirms important exoplanet discovery,Hawaii 39s Keck Observatory confirmed existence Jupitersized planet orbiting distant star first one spotted network astronomers using telescopes larger ones buy stores
Civil servants net porn probe,200 staff Department Work Pensions disciplined downloading porn work
World 39s smallest digital camera zoom lens,Come September Japanese electronics giant Casio Computer launch world 39s smallest digital camera zoom lens Casio 39s palmsized Exilim camera much smaller others first time uses ceramic lens
Iraq Mortar Attack Kills 25 Sistani Heads Najaf,NAJAF Iraq Reuters mortar attack packed mosque town Kufa Thursday killed least 25 people Iraqs influential Shiite cleric headed nearby holy city Najaf try end bloody threeweek uprising
Dream Team Leads Spain 4442 Halftime,ATHENS Greece expected US mens basketball team hands full quarterfinal game Spain Thursday
Nokia Pointsec team mobile data security,Enterprises seeking higher security growing number mobile devices may interested new encryption technology Nokia Corp deploying smart phone products
BlackRock Buys State Street Research,NEW YORK Reuters BlackRock Inc ltA HREFhttpwwwinvestorreuterscomFullQuoteaspxtickerBLKN targetstocksquickinfofullquotegtBLKNltAgt one largest US fixed income managers Thursday said buy far smaller competitor State Street Research Management Co marking biggest takeover asset management business year
Sixmonth deal Hoddle Wolves,47yearold former England coach unveiled press conference bringing end Wolves 39 monthlong search successor Dave Jones
Microsoft Expands Windows Update Release,Microsoft Corp starting ramp distribution massive security update Windows XP operating system analysts say still expect company move relatively slow pace avoid widespread glitches
British sailors bag bronze,Britains Chris Draper Simon Hiscocks win bronze tense final 49er race Saronic Gulf
Understanding Search Engine Models,Understanding Search Engine ModelsTo understand search engines search engine marketing one must first understand search engine model two fundamentally different types search engine back ends site directories spidering search engines Site directory databases built person manually inputting data websites
Electronic Jihad Internet Attack Rumored Today,Electronic Jihad Internet Attack Rumored TodayIs Electronic Jihad attack happening today stirred rumors Yevgeny Kaspersky raised concerns major attack internet today Kaspersky widely quoted saying would major online attack Israeli
Freddie Mac Investment Portfolio Grew,NEW YORK Reuters Freddie Mac ltA HREFhttpwwwinvestorreuterscomFullQuoteaspxtickerFREN targetstocksquickinfofullquotegtFRENltAgt said Thursday mortgage investments retained portfolio grew annualized rate 208 percent July compared 194 percent increase June
Science Magazine Asia Farmers Sucking Continent Dry Reuters,Reuters Asian farmers drilling millions ofpumpoperated wells everdeeper search water arethreatening suck continents underground reserves dry ascience magazine warned Wednesday
Report Intel Logs Big Gains Flash Market,Intel 39s share booming flash market jumped 408 percent second quarter according marketresearch firm iSuppli Corp
Morocco 39s El Guerrouj Olympic champion,Morocco 39s Hicham El Guerrouj Athens Tuesday Olympic title 1500m race two failed attempts Sydney Atlanta
McClaren happy striking duo,Middlesbrough boss Steve McClaren believes Mark Viduka Jimmy Floyd Hasselbaink could forge one dangerous strike partnerships Barclays Premiership
Iraq group free 3 Indians 4 others Kuwait firm TV Reuters,Reuters Iraqi kidnappers seven employees Kuwaiti company said video statement Thursday would release captives employer halted operations Iraq Al Arabiya television reported
BlackRock buy State Street Research MetLife,NEW YORK August 26 New Ratings BlackRock Inc BLKNYS leading USbased fixedincome asset management company reportedly agreed buy State Street Research amp Management Company unit MetLife Inc 375 million cash stock
Casio Shows Slim Trim Digicams,New Exilim models include thinnest version yet featuring new ceramic lens
UN Urges Funds Curb African Locusts AP,AP swarms locusts threatening crops number African countries UN agency appealed additional 3670 million assistance Thursday prevent upsurge becoming fullscale plague
Nepal blockade blow tourism,Nepal tour operators say tourists cancelled millions dollars bookings due rebel blockade Kathmandu
Manchester United cruise Champions League,Manchester United eased Champions League group phase comfortable 30 victory Dinamo Bucharest Old Trafford Wednesday
Intel Gives Centrino Chip Line Wireless Upgrade Reuters,Reuters Intel Corp INTCO Thursdaysaid upgraded wireless networking capabilities ofits Centrino line notebook computer chips allow broadernetwork access improved security
Panama pardons Castro plotters,Four men accused planning kill Cubas Fidel Castro pardoned Panamas president
Pinochet loses immunity reaction,Supreme Court Chile ruled former dictator General Pinochet immunity prosecution removed lawsuit brought relatives alleged victims military regime Operation Condor
Rangers Sign Weekes Bolster Goaltending AP,AP Goaltender Kevin Weekes signed Thursday New York Rangers expect unrestricted free agent compete 1 job Mike Dunham
Glaxo Settles Paxil Suicide Pill Suit,NEW YORK Reuters GlaxoSmithKline Plc ltA HREFhttpwwwinvestorreuterscomFullQuoteaspxtickerGSKL targetstocksquickinfofullquotegtGSKLltAgt agreed release clinical studies drugs settle lawsuit accused withholding negative information antidepressant Paxil New York Attorney Generals office said Thursday
Spears Fiance Star New Video,NEW YORK Britney Spears former backup dancer current fiance Kevin Federline add another title resume costar Wednesday Jive Records publicist confirmed Federline featured Spears upcoming Prerogative video set debut midSeptember
Dollar General earnings 19 percent,CHICAGO CBSMW Discount retailer Dollar General reported 19 percent rise fiscal secondquarter earnings helped higher sales lower charges
Evidence Abuse Guantanamo says Australian Foreign ltbgtltbgt,Australian Foreign Minister Alexander Downer says US investigation rejected allegations Australian terror suspect David Hicks abused US custody Afghanistan Cuba
British police arrest radical cleric Abu Hamza AFP,AFP Radical Islamic cleric Abu Hamza alMasri already detained London extradition request United States arrested suspicion committing preparing terrorism acts within Britain
Olympics HighFlying Holm Aims Defy Science Reuters,Reuters Swedens gold medalwinning highjumper Stefan Holm reckons leap even higher butscientists say athletes already close thelimit achieve
Japan Wont US Beef Anytime Soon Reuters,Reuters Japans lucrative market USbeef ruptured mad cow disease worries likely remainclosed rest year US meat industry officialssaid Thursday
Nigeria gives Shell 15 billion ecobill,Shell oil company handed 15 billion bill ecological compensation Niger delta government Nigeria
Texas School Offer Womens Gaming Scholarship Reuters,Reuters part drive attract morewomen maledominated video game industry programfor aspiring game developers Southern Methodist Universitywill offer womenonly scholarship organizers said onThursday
Dell adds new switch lineup,Dell upgraded PowerConnect line addition PowerConnect 5324 24port managed gigabit layer 2 switch
103 arrests Internet fraud related crimes since June US AFP,AFP US authorities arrested least 103 suspects filed 117 criminal complaints since June 1 crackdown various forms online fraud Attorney General John Ashcroft said
Microsoft Reprimanded Misleading Linux Ad NewsFactor,NewsFactor United Kingdoms advertising watchdog group Advertising Standards Association found complaints lodged Microsoft Nasdaq MSFT magazine ad stated Linux expensive Windows valid
IBM Amp Integration Venetica Buy NewsFactor,NewsFactor IBM NYSE IBM said purchase Venetica privately held firm provides contentintegration software unstructured data sources
Carter finishes fourth 400 hurdles,James Carter Baltimore finished fourth finals 400meter hurdles today missing medal Felix Sanchez Dominican Republic gold medal
London oil drops 40 barrel,cost barrel oil London dipped 40 energy prices continued slide price Brent crude London fell threeweek low 39
TiVo loss widens,SAN FRANCISCO CBSMW TiVo said secondquarter loss widened year earlier higher customer acquisition costs Free
Athletics Dominant Phillips takes long jump gold,ATHENS Dwight Phillips United States completed hattrick global long jump titles crushed field opening leap Thursday 39s final win Olympic gold
Jury Selection Begin Kobe Bryant Rape Trial,EAGLE Colo Reuters Jury selection begins Kobe Bryant rape case Friday hundreds potential jurors fill questionnaire help determine sit judgment trial involving race sex celebrity
Vioxx Faces Challenges Insurers Lawyers,Merck amp Co faces dual threat health insurers patients 39 lawyers US study suggested Vioxx arthritis drug carries greater risk rival medicines
UN Agency Sees Rapid Development El Nino Reuters,Reuters Fears new El Nino phenomenonthat brings extreme weather patterns unfounded despiteunusual ocean temperatures often herald devastatingweather anomaly World Meteorological Organization saidThursday
Visit Potemkin village,Gongzhong resemble Tibetan village Tibet village Epcot Center Walt Disney World
Let basketball,US men 39s basketball team limps Olympic medal round focus team 39s lousy outside shooting
Anglers Big Impact Fish Numbers Study,Recreational anglers may responsible landing nearly 25 percent overfished salt water species caught US coasts study released Thursday suggests
Israeli army demolishes 13 Palestinian homes,GAZA CITY Israeli army demolished 13 Palestinian houses incursion southern Gaza Strip town Rafah Thursday Palestinian security sources witnesses said
Nigerian Senate approves 15 bln claim Shell,LAGOS Nigeria 39s Senate passed resolution asking Shell 39s Nigerian unit pay 15 billion compensation oilfield communities pollution Senate spokesman said
Goosen takes lead BMW Open,Retief Goosen twotime US Open champion grabbed firstround lead BMW Open Nord Eichenried Germany 6underpar 66 Colin Montgomerie improved European Ryder Cup chances finishing one stroke back Thursday
Hewitt cruises quarterfinals,Former Wimbledon US Open winner Lleyton Hewitt cruised 61 64 victory Michael Llodra Thursday advance quarterfinals TD Waterhouse Cup
US edge Brazil gold,United States beat Brazil 21 extra time win womens Olympic football tournament
Breast scans fail women,women breast cancer less likely tumours picked scans say experts
Yemeni Poet Says alQaida Member,GUANTANAMO BAY NAVAL BASE Cuba Aug 26 2004 dramatic turn silenced defense lawyers Yemeni poet accused crafting terrorist propaganda argued Thursday represent US
Changing Guard US Track Field,Description NPR 39s Steve Inskeep talks USA Today sports columnist Christine Brennan latest news track field Athens Olympics
Govt Test New Air Passenger Screening Program,US government unveiled plans Thursday revised computerbased program using personal information identify airline passengers may pose threat air travel
Chile Court Strips Pinochet Immunity AP,AP Chiles Supreme Court stripped Gen Augusto Pinochet immunity prosecution Thursday ruling revived hopes foes might stand trial charges human rights abuses rule
Amelies final footsteps retraced,Detectives staged reconstruction final steps murdered French student Amelie Delagrange
Bush Kerry Bow McCains Wishes Ads,NEW YORK President Bush Sen John Kerry bowed wishes popular maverick John McCain Thursday president embraced Republican senators legal fight bigmoney special interest groups airing negative ads Democratic nominee scrapped commercial featured McCain
Thatcher case twist list alleged coup backers vanishes,Thatcher saga took dramatic twist last night emerged key witness police investigation disappeared taking list wealthy individuals supposedly bankrolled alleged coup attempt oilrich Equatorial Guinea
PeopleSoft customers reassured,Oracle Corp President Charles Phillips Monday said PeopleSoft Inc customers become comfortable prospect merger two software firms even proposed transaction awaits critical ruling Delaware court
Torch passed winning goal,ATHENS America 39s goldmedal soccer players 39t say goodbye say hello quotThe thing love quot retiring captain Julie Foudy said quotis Tarpley Wambach scored
Union leaders held ESMA Day 6 strike,New Delhi August 26 sixth day truckers strike Thursday saw 12 truckers arrested Essential Services Maintenance Act ESMAin Capital
DreamWorks Officer Quits,DreamWorks SKG studio created quotShrek 39 39 films said yesterday Helene Hahn would step chief operating officer
Vote 2004 guide primary,Get ready primary HeraldTribunes special news section profiling federal state local candidates races Tuesdays election
Jets Pennington Talk,New York Jets quarterback Chad Pennington looking finalize contract extension next Wednesday
AL Wrap Oaklands Durazo Piles Misery Baltimore Reuters,Reuters Erubiel Durazos threerun homer inthe second inning helped Oakland Athletics remain top ofthe American League AL West 94 win reelingBaltimore Orioles Thursday
AL Wrap Oaklands Durazo Piles Misery Baltimore,NEW YORK Reuters Erubiel Durazos threerun homer second inning helped Oakland Athletics remain top American League AL West 94 win reeling Baltimore Orioles Thursday
Sports Braves 6 Rockies 4,ATLANTA Mike Hampton hit RBI single Atlanta stretched lead NL East winning fourth row 6to4 Colorado
Islamic group holding lorry drivers demands firm quit Iraq AFP,AFP group calling Secret Islamic Army SIA release seven hostages holding month soon Kuwaiti company says longer operate Iraq SIA announced
Iraqs Sadr Orders Fighters Lay Weapons,NAJAF Iraq Reuters Rebel Iraqi cleric Moqtada alSadr Friday ordered men inside Najafs Imam Ali mosque lay weapons join thousands Shiite pilgrims outside shrine
Guo tucks away gold China,China 39s Guo Jingjing easily women 39s 3meter springboard last night Wu Minxia made 12 finish world 39s diving superpower taking silver
